tracking_id	AU-Ma-4C_FPKM	AU-Ma-30C_FPKM	AU-Fe-4C_FPKM	AU-Fe-30C_FPKM	SU-Fe-4C_FPKM	SU-Fe-30C_FPKM	SU-Hem-4C_FPKM	SU-Hem-30C_FPKM
evm.TU.contig_32845	5.93359	10.3895	4.83506	9.80591	6.0277	5.5327	7.13014	6.23723
evm.TU.contig_32851	14.4727	11.8336	17.748	13.0263	20.0635	8.73951	10.9394	7.55063
evm.TU.contig_32853	89.2045	97.2996	113.43	83.7183	87.6559	56.1292	68.2654	71.9171
evm.TU.contig_32872	0	0	0	0	0	0	0	0
evm.TU.contig_32885	0	0	0	0	0	0	0	0
evm.TU.contig_32909	0	0	0	0	0	0	0	0
evm.TU.contig_32926	0.0753824	0	0.0925939	0	0.561719	0	0	0
evm.TU.contig_32929	0	0	0	0	0	0	0	0
evm.TU.contig_32930	0	0	0	0	0	0	0	0
evm.TU.contig_32935	0	0	0	0	0	0	0	0
evm.TU.contig_32945	0	0	0	0	0	0	0	0
evm.TU.contig_32965	0.576253	0.202129	1.06748	0.800722	5.03571	0.668805	1.96012	1.09348
evm.TU.contig_32989	82.0936	75.206	94.1532	78.4273	63.5694	54.857	61.8862	55.4444
evm.TU.contig_32995	2.26493	2.20856	4.44799	0.692264	4.09668	1.95052	2.86262	4.14464
evm.TU.contig_32999	35.6073	60.2766	42.6472	63.8248	56.6243	82.9256	63.0259	75.7943
evm.TU.contig_33001	32.428	43.0817	37.3778	40.3345	30.2806	30.6983	30.919	29.3251
evm.TU.contig_33013	32.2053	45.1115	84.3854	49.1754	86.3721	28.7894	94.0559	32.1366
evm.TU.contig_33015	0	0	0	0	0	0	0	0
evm.TU.contig_33038	0	0	0	0	0.449013	0	0	0
evm.TU.contig_33072	210.934	1200.48	1335.87	337.995	443.248	87.1402	59.6897	367.461
evm.TU.contig_33076	1.7542	1.15948	1.89913	0.890963	1.49414	0.33699	0.48248	0.332402
evm.TU.contig_33086	124.695	86.3099	230.016	91.853	189.871	108.343	130.879	106.45
evm.TU.contig_33094	45.2669	40.8536	62.3317	35.3955	69.5458	55.2284	57.048	55.1003
evm.TU.contig_33100	0.0859812	0.0154688	0.0291809	0.0385296	0.106249	0	0.0901806	0
evm.TU.contig_33107	0	0	0	0	0	0	0	0
evm.TU.contig_33123	0	0	0	0	0	0	0	0
evm.TU.contig_33138	0	0	0	0	0	0	0	0
evm.TU.contig_33159	0	0	0	0	0	0	0	0
evm.TU.contig_33192	260.206	129.886	271.988	126.929	287.791	82.9463	459.072	67.9072
evm.TU.contig_33193	0	0	0	0	0	0	0	0
evm.TU.contig_33195	0	0	0	0	0	0	0	0
evm.TU.contig_33226	13.4804	23.2267	9.74911	23.177	15.6137	27.7344	20.8121	23.4443
evm.TU.contig_33229	0.364264	0	0.641793	0	0	0	0	0
evm.TU.contig_33243	39.2111	48.027	53.531	47.5267	19.3912	45.0029	29.2638	42.053
evm.TU.contig_33250	0	0	0	0	0	0	0	0
evm.TU.contig_33268	17.7677	36.8823	18.7427	34.2829	19.7364	28.6032	13.6807	27.0893
evm.TU.contig_33269	0	0	0	0	0	0	0	0
evm.TU.contig_33279	192.851	106.435	127.814	84.009	83.2458	59.2148	57.8653	49.6919
evm.TU.contig_33298	0.12831	0.0946125	0.341247	0.0476854	0.428207	0.0365215	0.463625	0
evm.TU.contig_33315	0	0	0	0	0	0	0	0.78397
